"unit","qudtUri","TotalUses","pseudounit","qudtUnit"
"3",NA,2,"3","3"
"211",NA,2,"211","211"
"206",NA,2,"206","206"
"2010-015-fa",NA,2,"2010-015-fa","2010-015-fa"
"2010-010-fa",NA,2,"2010-010-fa","2010-010-fa"
"2009",NA,2,"2009","2009"
"2005",NA,2,"2005","2005"
"2004",NA,2,"2004","2004"
"2",NA,2,"2","2"
"19820223",NA,2,"19820223","19820223"
"19820203",NA,2,"19820203","19820203"
"16r",NA,2,"16r","16r"
"15r",NA,2,"15r","15r"
"100g",NA,2,"100g","100g"
"1000 meters",NA,2,"1000meter","1000-M"
"100 meter",NA,2,"100meter","100-M"
"1 chain = 66 feet",NA,2,"1chain=66foot","1-CH-=66-FT"
"1",NA,2,"1","1"
"<blank>",NA,2,"<blank>","<blank>"
"+acu-",NA,2,"+acu-","+acu"
"{null}",NA,2,"{null}","{null}"
"(mg/l as caco3)",NA,2,"(mgperliterascaco3)",""
"% dry wt",NA,2,"percentdrywt","PERCENT-drywt"
"#x105/liter",NA,2,"#x105perliter","NUM-x105-PER-L"
"#ofcryptophytes/ciliate/hour",NA,2,"#ofcryptophytesperciliateperhour","NUM-ofcryptophytes-PER-ciliate-HR"
"# teats",NA,2,"#teats","NUM-teats"
"# offspring",NA,2,"#offspring","NUM-offspring"
"# litters/year",NA,2,"#littersperyear","NUM-litters-PER-YR"
"# habitat layers",NA,2,"#habitatlayers","NUM-habitatlayers"
"""north america"",  ""central america and the caribbean"",  ""south america"",  ""eastern australia"",  ""southeast asia archipelagos"",  ""central  and eastern asia"",  ""northeast asia"",  ""southeast asia"", ""middle east"", ""europe"", ""global""",NA,2,"""northamerica"",""centralamericaandthecaribbean"",""southamerica"",""easternaustralia"",""southeastasiaarchipelagos"",""centralandeasternasia"",""northeastasia"",""southeastasia"",""middleeast"",""europe"",""global""","""northamerica"",""centralamericaandthecaribbean"",""southamerica"",""easternaustralia"",""southeastasiaarchipelagos"",""centralandeasternasia"",""northeastasia"",""southeastasia"",""middleeast"",""europe"",""global"""
"-83",NA,2,"-83","83"
"-6",NA,2,"-6","6"
"-1",NA,2,"-1","1"
"zr_ppm_na_sc",NA,1,"zrpartpermillionnasc","zr-PPM-nasc"
"zr_ppm_na_lc",NA,1,"zrpartpermillionnalc","zr-PPM-nalc"
"zr_ppm_es_sq",NA,1,"zrpartpermillionessq","zr-PPM-essq"
"zr_ppm_edx",NA,1,"zrpartpermillionedx","zr-PPM-edx"
"zr_ppm_aes_st",NA,1,"zrpartpermillionaesst","zr-PPM-aesst"
"zr",NA,1,"zr","zr"
"zooplankton",NA,1,"zooplankton","zooplank-TON_US"
"zn_ppm_na_sc",NA,1,"znpartpermillionnasc","zn-PPM-nasc"
"zn_ppm_na_lc",NA,1,"znpartpermillionnalc","zn-PPM-nalc"
"zn_ppm_es_sq",NA,1,"znpartpermillionessq","zn-PPM-essq"
"zn_ppm_edx",NA,1,"znpartpermillionedx","zn-PPM-edx"
"zn_ppm_aes_st",NA,1,"znpartpermillionaesst","zn-PPM-aesst"
"zn_ppm_aes_az_p",NA,1,"znpartpermillionaesazp","zn-PPM-aesazp"
"zn",NA,1,"zn","zn"
"zimmerman72",NA,1,"zimmerman72","zimmerman72"
"zetts fish hatchery (pa)",NA,1,"zettsfishhatchery(pa)","zettsfishhatchery"
"zero or 1",NA,1,"zeroor1","zeroor1"
"yyyy-mm-ddd",NA,1,"yyyy-mm-ddd","YR-MilliM-ddd"
"yyyy-mm-dd",NA,1,"yyyy-mm-dd","YR-MilliM-dd"
"yukon river",NA,1,"yukonriver","yukonriver"
"yukon-charley",NA,1,"yukon-charley","yukon-charley"
"yukon",NA,1,"yukon","yukon"
"yuk",NA,1,"yuk","yuk"
"yr a.d.",NA,1,"yeara.d.","YR-a-NA-d"
"yr","http://qudt.org/vocab/unit/YR",1,"year","YR"
"yoypollock",NA,1,"yoypollock","yoypollock"
"yoyherring",NA,1,"yoyherring","yoyherring"
"yoycapelin",NA,1,"yoycapelin","yoycapelin"
"yoy",NA,1,"yoy","yoy"
"yol-03",NA,1,"yol-03","yol-03"
"yol-01",NA,1,"yol-01","yol-01"
"yo",NA,1,"yo","yo"
"yellowstone river",NA,1,"yellowstoneriver","yellows-TON_US-eriver"
"yellow perch",NA,1,"yellowperch","yellow-PER-ch"
"years.","http://qudt.org/vocab/unit/YR",1,"year.","YR"
"years starting with 1 = 2010 and 7 = 2016",NA,1,"yearstartingwith1=2010and7=2016","YR-startingwith1=2010and7=2016"
"years","http://qudt.org/vocab/unit/YR",1,"year","YR"
"yearad",NA,1,"yearad","YR-ad"
"year: year of lake freezing, yyyy",NA,1,"year:yearoflakefreezing,yyyy","YR-:-YR-oflakefreezing,-YR"
"year of time as a counting unit",NA,1,"yearoftimeasacountingunit","YR-oftimeasacountingunit"
"year (yyyy)oter",NA,1,"year(yyyy)oter","YR-oter"
"year (june-may)","http://qudt.org/vocab/unit/YR",1,"year(june-may)","YR"
"yeaer (yyyy)",NA,1,"yeaer(yyyy)","yeaer"
"yb_ppm_na_sc",NA,1,"ybpartpermillionnasc","yb-PPM-nasc"
"yb_ppm_na_lc",NA,1,"ybpartpermillionnalc","yb-PPM-nalc"
"yb_ppm_ms_st_ree",NA,1,"ybpartpermillionmsstree","yb-PPM-msstree"
"yb_ppm_ms_st",NA,1,"ybpartpermillionmsst","yb-PPM-msst"
"yb",NA,1,"yb","yb"
"yao",NA,1,"yao","yao"
"yalik point",NA,1,"yalikpoint","yalikpoint"
"y_ppm_ms_st",NA,1,"yearpartpermillionmsst","YR-PPM-msst"
"y_ppm_es_sq",NA,1,"yearpartpermillionessq","YR-PPM-essq"
"y_ppm_edx",NA,1,"yearpartpermillionedx","YR-PPM-edx"
"y, n. na",NA,1,"y,n.na","y,n-NA-na"
"y, 2 strains a+b",NA,1,"y,2strainsa+b","y,2strainsa+b"
"xs",NA,1,"xs","xs"
"xrf",NA,1,"xrf","xrf"
"xrd",NA,1,"xrd","xrd"
"xl",NA,1,"xl","xl"
"xerophytic vegetation",NA,1,"xerophyticvegetation","xerophyticvegetation"
"x",NA,1,"x","x"
"wymps gap member",NA,1,"wympsgapmember","wympsgapmember"
"wwsc",NA,1,"wwsc","wwsc"
"ww",NA,1,"ww","ww"
"wtsh",NA,1,"wtsh","wtsh"
"wtpd",NA,1,"wtpd","wtpd"
"wsoc (mg wsoc / g soil) = npoc (mg c/l) * vol extractant (l) / mass soil (g)",NA,1,"wsoc(mgwsocpergramsoil)=npoc(mgcperl)*volextractant(l)permasssoil(g)","wsoc"
"wsoc (g wsoc / square m) = wosc (mg wsoc / g soil) * horizon thickness (cm) * bulk density (g/cubic cm) * (100 cm / m)^2 * (1 g / 1000 mg)",NA,1,"wsoc(gwsocpersquarem)=wosc(mgwsocpergramsoil)*horizonthickness(cm)*bulkdensity(gpercubiccm)*(100centimeterperm)^2*(1gramper1000mg)","wsoc"
"ws-02",NA,1,"ws-02","ws-02"
"wrecks",NA,1,"wrecks","wrecks"
"wr",NA,1,"wr","wr"
"worms",NA,1,"worms","worms"
"woodyshrub",NA,1,"woodyshrub","woodyshrub"
"woods hole harbor",NA,1,"woodsholeharbor","woodsholeharbor"
"wood cords",NA,1,"woodcords","wood-CORD"
"wood biomass increment",NA,1,"woodbiomassincrement","woodbiomassincrement"
"wood",NA,1,"wood","wood"
"wmsa",NA,1,"wmsa","wmsa"
"wmd",NA,1,"wmd","wmd"
"wmc",NA,1,"wmc","wmc"
"wmb",NA,1,"wmb","wmb"
"wma",NA,1,"wma","wma"
"wm-2","http://qudt.org/vocab/unit/W-PER-M2",1,"wm-2","W-PER-M2"
"wisconsin",NA,1,"wisconsin","wisconsin"
"winters",NA,1,"winters","winters"
"wind; rain?",NA,1,"wind;rain?","wind;rain?"
"wind",NA,1,"wind","wind"
"wills creek formation",NA,1,"willscreekformation","willscreekformation"
"willett1972",NA,1,"willett1972","willett1972"
"wigley1965",NA,1,"wigley1965","wigley1965"
"wigley1961",NA,1,"wigley1961","wigley1961"
"wica-rm",NA,1,"wica-rm","wica-rm"
"whs",NA,1,"whs","whs"
"whole species",NA,1,"wholespecies","whole-NUM"
"whole counts",NA,1,"wholecounts","wholecounts"
"whole blood",NA,1,"wholeblood","wholeblood"
"whole bees",NA,1,"wholebees","wholebees"
"whole",NA,1,"whole","whole"
"whoi core storage facility",NA,1,"whoicorestoragefacility","whoicorestoragefacility"
"white sucker",NA,1,"whitesucker","whitesucker"
"white heath",NA,1,"whiteheath","whiteheath"
"white crappie",NA,1,"whitecrappie","whitecrappie"
"whisky",NA,1,"whisky","whisky"
"whim",NA,1,"whim","whim"
"where 1 g is approximately 9.8 m/s2",NA,1,"where1gramisapproximately9.8mpers2","where1-GM-isapproximately9-NA-8m-PER-s2"
"wetland",NA,1,"wetland","wetland"
"wet shrub",NA,1,"wetshrub","wetshrub"
"wet meadow; 66-90% density",NA,1,"wetmeadow;66-90%density","wetmeadow;66-90-PERCENT-density"
"wet meadow; 33-66% density",NA,1,"wetmeadow;33-66%density","wetmeadow;33-66-PERCENT-density"
"wet meadow; 10-33% density",NA,1,"wetmeadow;10-33%density","wetmeadow;1033-PERCENT-density"
"wet meadow; > 90% density",NA,1,"wetmeadow;>90%density","wetmeadow;>90-PERCENT-density"
"wet meadow shrub; 10-33% density",NA,1,"wetmeadowshrub;10-33%density","wetmeadowshrub;1033-PERCENT-density"
"western prince william sound",NA,1,"westernprincewilliamsound","westernprincewilliamsound"
"west virginia",NA,1,"westvirginia","westvirginia"
"west falls formation",NA,1,"westfallsformation","westfallsformation"
"well pad residual disturbance",NA,1,"wellpadresidualdisturbance","wellpadresidualdisturbance"
"well pad",NA,1,"wellpad","wellpad"
"well digested material",NA,1,"welldigestedmaterial","welldigestedmaterial"
"well",NA,1,"well","well"
"weight",NA,1,"weight","weight"
"week",NA,1,"week","week"
"week",NA,1,"week","week"
"wdx_raw",NA,1,"wdxraw","wdxraw"
"wdx_pp",NA,1,"wdxpp","wdxpp"
"wdx_hf",NA,1,"wdxhf","wdxhf"
"wc",NA,1,"wc","wc"
"wbc/ul",NA,1,"wbcpermicroliter","wbc-PER-MicroL"
"waxmyrtle",NA,1,"waxmyrtle","waxmyrtle"
"watts per meter squared","http://qudt.org/vocab/unit/W-PER-M2",1,"wattspermetersquared","W-PER-M2"
"watts","http://qudt.org/vocab/unit/W",1,"watts","W"
"watt per meter squared","http://qudt.org/vocab/unit/W-PER-M2",1,"wattpermetersquared","W-PER-M2"
"watt hours per meter squared",NA,1,"watthourpermetersquared","W-HR-PER-M2"
"waterfowl",NA,1,"waterfowl","waterfowl"
"waterborne cercaria",NA,1,"waterbornecercaria","waterbornecercaria"
"water year covers the preceding years may to the current year april (i.e. may 1994 - april 1995 is wy 1995).",NA,1,"wateryearcoverstheprecedingyearmaytothecurrentyearapril(i.e.may1994-april1995iswy1995).","water-YR-coversthepreceding-YR-maytothecurrent-YR-april"
"water year",NA,1,"wateryear","water-YR"
"water tupelo",NA,1,"watertupelo","watertupelo"
"water temp",NA,1,"watertemp","watertemp"
"water sample",NA,1,"watersample","watersample"
"water oak",NA,1,"wateroak","wateroak"
"water elm",NA,1,"waterelm","waterelm"
"wardetal01",NA,1,"wardetal01","wardetal01"
"walking",NA,1,"walking","walking"
"wal",NA,1,"wal","wal"
"wading in water",NA,1,"wadinginwater","wadinginwater"
"wader",NA,1,"wader","wader"
"wac",NA,1,"wac","wac"
"w2",NA,1,"w2","w2"
"w_ppm_ms_st",NA,1,"wpartpermillionmsst","W-PPM-msst"
"w_ppm_es_sq",NA,1,"wpartpermillionessq","W-PPM-essq"
"vv",NA,1,"vv","vv"
"volumetricsoilmoisture",NA,1,"volumetricsoilmoisture","volumetricsoilmoisture"
"volumetric primary production rate",NA,1,"volumetricprimaryproductionrate","volumetricprimaryproductionrate"
"volume percent",NA,1,"volumepercent","volume-PERCENT"
"volume of water necessary to flood one acre of land to one foot of depth, times 1000000",NA,1,"volumeofwaternecessarytofloodoneacreoflandtoonefootofdepth,times1000000","volumeofwaternecessarytofloodone-AC-oflandtoone-FT-ofdepth,times1000000"
"volume of water filtered by clams in one square meter of sediment per day.",NA,1,"volumeofwaterfilteredbyclamsinonesquaremeterofsedimentperday.","volumeofwaterfilteredbyclamsi-UNITLESS-M2-ofsediment-PER-DAY"
"volume of sample in units of cubic centimeters",NA,1,"volumeofsampleinunitsofcubiccentimeter","volumeofsampleinunitsof-CentiM3"
"volume of roots (cubic cm) per volume or soil (cubic cm)",NA,1,"volumeofroots(cubiccm)pervolumeorsoil(cubiccm)","volumeofroots"
"voltsecond",NA,1,"voltecond","V-econd"
"voltsecond",NA,1,"voltecond","V-econd"
"volts 410",NA,1,"volt410","V-410"
"volts 380",NA,1,"volt380","V380"
"volts 360",NA,1,"volt360","V360"
"vol",NA,1,"vol","vol"
"visitor",NA,1,"visitor","visitor"
"visit number",NA,1,"visitnumber","visit-NUM"
"virginia",NA,1,"virginia","virginia"
"virgin basin",NA,1,"virginbasin","virginbasin"
"vipera berus",NA,1,"viperaberus","vi-PER-aberus"
"very windy",NA,1,"verywindy","verywindy"
"very low heat load",NA,1,"verylowheatload","verylowheatload"
"very low",NA,1,"verylow","verylow"
"very high heat load",NA,1,"veryhighheatload","veryhighheatload"
"very high",NA,1,"veryhigh","veryhigh"
"very fine gravel",NA,1,"veryfinegravel","veryfinegravel"
"very far",NA,1,"veryfar","veryfar"
"very coarse gravel",NA,1,"verycoarsegravel","verycoarsegravel"
"vereshchagin",NA,1,"vereshchagin","vereshchagin"
"vehicle",NA,1,"vehicle","vehicle"
"vegetated",NA,1,"vegetated","vegetated"
"vegematic box core",NA,1,"vegematicboxcore","vegematicboxcore"
"vector",NA,1,"vector","vector"
"vc",NA,1,"vc","vc"
"vbc",NA,1,"vbc","vbc"
"varroaperday",NA,1,"varroaperday","varroa-PER-DAY"
"varroa mite fall per day on to adhesive boards",NA,1,"varroamitefallperdayontoadhesiveboards","varroamitefall-PER-DAY-ontoadhesiveboards"
"various",NA,1,"various","various"
"variable units",NA,1,"variableunits","variableunits"
"variable units",NA,1,"variableunits","variableunits"
"var",NA,1,"var","var"
"vanveen grab",NA,1,"vanveengrab","vanveengrab"
"vanveen",NA,1,"vanveen","vanveen"
"vanveen",NA,1,"vanveen","vanveen"
"van veen grab - teflon coated",NA,1,"vanveengrab-tefloncoated","vanveengrab-tefloncoated"
"van veen",NA,1,"vanveen","vanveen"
"value",NA,1,"value","value"
"valentine",NA,1,"valentine","valentine"
"v_ppm_wdx_fuse",NA,1,"voltpartpermillionwdxfuse","V-PPM-wdxfuse"
"v_ppm_es_sq",NA,1,"voltpartpermillionessq","V-PPM-essq"
"v_ppm_aes_st",NA,1,"voltpartpermillionaesst","V-PPM-aesst"
"uv*min",NA,1,"uv*min","uv*min"
"utpd",NA,1,"utpd","utpd"
"utm zone",NA,1,"utmzone","utmzone"
"utc yyyymmddhhmmss",NA,1,"utcyyyymmddhhmmss","utc-YR-mmddhhmmss"
"utc (yyyymmddhhmmssz)",NA,1,"utc(yyyymmddhhmmssz)","utc"
"utc",NA,1,"utc","utc"
"utah",NA,1,"utah","utah"
"usnm",NA,1,"usnm","usnm"
"usiemes/cm",NA,1,"usiemespercentimeter","usiemes-PER-CentiM"
"usgs slow corer",NA,1,"usgsslowcorer","usgsslowcorer"
"usgs csg",NA,1,"usgscsg","usgscsg"
"usgs-wrd",NA,1,"usgs-wrd","usgs-wrd"
"usgs-state cooperative study",NA,1,"usgs-statecooperativestudy","usgs-statecoo-PER-ativestudy"
"usgs-bgc",NA,1,"usgs-bgc","usgs-bgc"
"usgs-99",NA,1,"usgs-99","usgs-99"
"usfws-pacific island",NA,1,"usfws-pacificisland","usfws-pacificisland"
"used to join table to tongass national forest landslide inventory database.",NA,1,"usedtojointabletotongassnationalforestlandslideinventorydatabase.","usedtojointableto-TON_US-gassnationalforestlandslideinventorydatabase"
"used to describe the concentration of dissolved salts in water, the unesco practical salinity scale of 1978 (pss78) defines salinity in terms of a conductivity ratio",NA,1,"usedtodescribetheconcentrationofdissolvedsaltsinwater,theunescopracticalsalinityscaleof1978(pss78)definessalinityintermsofaconductivityratio","usedtodescribetheconcentrationofdissolvedsaltsinwater,theunescopracticalsalinityscaleof1978definessalinityintermsofaconductivityratio"
"used for integrated concentration of chemical constituents when measuered by weight, eg, pigments.",NA,1,"usedforintegratedconcentrationofchemicalconstituentswhenmeasueredbyweight,eg,pigments.","usedforintegratedconcentrationofchemicalconstituentswhenmeasueredbyweight,eg,pigments"
"uscm-1, microsiemens per centimeter",NA,1,"uscm-1,microsiemenspercentimeter","uscm-1,-MicroS-PER-CentiM"
"uscg 41",NA,1,"uscg41","uscg41"
"usace",NA,1,"usace","usace"
"usa data",NA,1,"usadata","usadata"
"us dollar per year",NA,1,"usdollarperyear","USDollar-PER-YR"
"us dollar per metric ton",NA,1,"usdollarpermetricton","USDollar-PER-TON_Metric"
"us currency, an economic method for measuring value",NA,1,"uscurrency,aneconomicmethodformeasuringvalue","uscurrency,aneconomicmethodformeasuringvalue"
"urs-99",NA,1,"urs-99","urs-99"
"urs-01",NA,1,"urs-01","urs-01"
"urs-00",NA,1,"urs-00","urs-00"
"uranium mine",NA,1,"uraniummine","uraniummine"
"upperbeach",NA,1,"upperbeach","up-PER-beach"
"upper ordovician",NA,1,"upperordovician","up-PER-ordovician"
"upper devonian",NA,1,"upperdevonian","up-PER-devonian"
"upper cambrian",NA,1,"uppercambrian","up-PER-cambrian"
"upper 95% mean",NA,1,"upper95%mean","up-PER-95-PERCENT-mean"
"upland",NA,1,"upland","upland"
"unvegetated",NA,1,"unvegetated","unvegetated"
"unsure",NA,1,"unsure","unsure"
"unsp",NA,1,"unsp","unsp"
"unsh",NA,1,"unsh","unsh"
"unre",NA,1,"unre","unre"
"unplowed winter-dry rice",NA,1,"unplowedwinter-dryrice","unplowedwinter-dryrice"
"unplowed winter-dry corn",NA,1,"unplowedwinter-drycorn","unplowedwinter-drycorn"
"unopies",NA,1,"unopies","unopies"
"uno",NA,1,"uno","uno"
"unnamed western fork of paradise creek",NA,1,"unnamedwesternforkofparadisecreek","unnamedwesternforkofparadisecreek"
"unknown species",NA,1,"unknownspecies","unknown-NUM"
"unknown device",NA,1,"unknowndevice","unknowndevice"
"units unkown",NA,1,"unitsunkown","unitsunkown"
"units of specific conductance",NA,1,"unitsofspecificconductance","unitsofspecificconductance"
"units of measure of salinity in parts per thousand",NA,1,"unitsofmeasureofsalinityinpartperthousand","unitsofmeasureofsalinityin-PPTH"
"units here",NA,1,"unitshere","unitshere"
"units correspond to month, day and year in the format mm/dd/yy",NA,1,"unitscorrespondtomonth,dayandyearintheformatmillimeterperddperyy","unitscorrespondto-MO-,-DAY-and-YR-intheformat-MilliM-PER-dd-yy"
"unitless ratio",NA,1,"unitlessratio","UNITLESS-ratio"
"unitless index",NA,1,"unitlessindex","UNITLESS-index"
"unitless id",NA,1,"unitlessid","UNITLESS-id"
"unitless estimate of wave energy",NA,1,"unitlessestimateofwaveenergy","UNITLESS-estimateofwaveenergy"
"unitless erosion potential estimate",NA,1,"unitlesserosionpotentialestimate","UNITLESS-erosionpotentialestimate"
"unitless -ratio",NA,1,"unitless-ratio","UNITLESS-ratio"
"unitless- ratio",NA,1,"unitless-ratio","UNITLESS-ratio"
"unitÃ£ÂªofÃ£ÂªpressureÃ£ÂªdefinedÃ£ÂªasÃ£Âª101325Ã£ÂªpaÃ£Âª(1.01325Ã£Âªbar)",NA,1,"unitÃ£ÂªofÃ£ÂªpressureÃ£ÂªdefinedÃ£ÂªasÃ£Âª101325Ã£ÂªpaÃ£Âª(1.01325Ã£Âªbar)","unitÃ£ÂªofÃ£ÂªpressureÃ£ÂªdefinedÃ£ÂªasÃ£Âª101325Ã£ÂªpaÃ£Âª"
"unit of volume",NA,1,"unitofvolume","unitofvolume"
"unit of turbidity",NA,1,"unitofturbidity","unitofturbidity"
"unit of electric conductivity",NA,1,"unitofelectricconductivity","unitofelectricconductivity"
"unit of distance for latitude and longitude",NA,1,"unitofdistanceforlatitudeandlongitude","unitofdistanceforlatitudeandlongitude"
"unit not defined, can be various units and/or provided elsewhere",NA,1,"unitnotdefined,canbevariousunitsandperorprovidedelsewhere","unitnotdefined,canbevariousunitsand-PER-orprovidedelsewhere"
"unit for turbidity",NA,1,"unitforturbidity","unitforturbidity"
"unit associated with suva254 metric",NA,1,"unitassociatedwithsuva254metric","unitassociatedwithsuva254metric"
"unique observation.",NA,1,"uniqueobservation.","uniqueobservation"
"unique numbered id for each temperature pendent.",NA,1,"uniquenumberedidforeachtemperaturependent.","unique-NUM-edidforeachtem-PER-aturependent"
"unique identifier for species",NA,1,"uniqueidentifierforspecies","uniqueidentifierfor-NUM"
"unique identifier",NA,1,"uniqueidentifier","uniqueidentifier"
"unhd",NA,1,"unhd","unhd"
"undetermined",NA,1,"undetermined","undetermined"
"undefined",NA,1,"undefined","undefined"
"uncalibrated radiocarbon years",NA,1,"uncalibratedradiocarbonyear","uncalibratedradiocarbon-YR"
"umpd",NA,1,"umpd","umpd"
"umolphotons/m2/day",NA,1,"umolphotonpermetersquaredperday","MicroMOL-PHOT-PER-M2-DAY"
"umoles per gram of substance",NA,1,"umolepergramofsubstance","u-MOL-PER-GM-ofsubstance"
"umolco2m-2sec-1",NA,1,"umolco2m-2sec-1","umolco2m2sec-1"
"umolco2m-2s-1",NA,1,"umolco2m-2s-1","umolco2m2s-1"
"umol/l","http://qudt.org/vocab/unit/MicroMOL-PER-L",1,"micromoleperliter","MicroMOL-PER-L"
"umol/g/h= umoles per gram of substance per hour",NA,1,"micromolepergramperh=umolepergramofsubstanceperhour","MicroMOL-PER-GM-h=u-MOL-GM-ofsubstance-HR"
"umol n/g",NA,1,"micromolenpergram","MicroMOL-n-PER-GM"
"umol co2 m-2 s-1",NA,1,"micromoleco2permetersquaredpersecond","MicroMOL-co2-PER-M2-SEC"
"umhos/cm",NA,1,"umhospercentimeter","umhos-PER-CentiM"
"um/m2/sec",NA,1,"umpermetersquaredpersecond","um-PER-M2-SEC"
"um/g/hr",NA,1,"umpergramperhour","um-PER-GM-HR"
"um p",NA,1,"ump","ump"
"um m-2",NA,1,"umpermetersquared","um-PER-M2"
"um c",NA,1,"umc","umc"
"ulasg-15",NA,1,"ulasg-15","ulasg-15"
"ulasg-11",NA,1,"ulasg-11","ulasg-11"
"ulasf-09",NA,1,"ulasf-09","ulasf-09"
"ulasf-05",NA,1,"ulasf-05","ulasf-05"
"ugno3-n/gsoil",NA,1,"ugno3-npergsoil","ugno3-n-PER-gsoil"
"ugnh4-n/gsoiln",NA,1,"ugnh4-npergsoiln","ugnh4-n-PER-gsoiln"
"ugnh4-n/gsoil",NA,1,"ugnh4-npergsoil","ugnh4-n-PER-gsoil"
"ugn2o-n/kgdrysoil*h",NA,1,"ugn2o-nperkgdrysoil*h","ugn2o-n-PER-kgdrysoil*h"
"ugchlorophyll-a/liter",NA,1,"ugchlorophyll-aperliter","ugchlorophyll-a-PER-L"
"ugchlorophyll-a/liter",NA,1,"ugchlorophyll-aperliter","ugchlorophyll-a-PER-L"
"ugcarbon/liter*day",NA,1,"ugcarbonperliter*day","ugcarbon-PER-L-*-DAY"
"ugc/gdw/hr",NA,1,"ugcpergdwperhour","ugc-PER-gdw-HR"
"ugc/gc/hr",NA,1,"ugcpergcperhour","ugc-PER-gc-HR"
"ugc/g soil/day",NA,1,"ugcpergramsoilperday","ugc-PER-GM-soil-DAY"
"ugc/g soil",NA,1,"ugcpergramsoil","ugc-PER-GM-soil"
"ug/m2/day","http://qudt.org/vocab/unit/MicroGM-PER-M2-DAY",1,"microgrampermetersquaredperday","MicroGM-PER-M2-DAY"
"ug/kg","http://qudt.org/vocab/unit/MicroGM-PER-KiloGM",1,"microgramperkilogram","MicroGM-PER-KiloGM"
"ug/gdw",NA,1,"microgrampergdw","MicroGM-PER-gdw"
"ug/g/day",NA,1,"microgrampergramperday","MicroGM-PER-GM-DAY"
"ug/g dry soil",NA,1,"microgrampergramdrysoil","MicroGM-PER-GM-drysoil"
"ug/cm3",NA,1,"microgrampercentimetercubed","MicroGM-PER-CentiM3"
"ug/cm2",NA,1,"microgrampercentimetersquared","MicroGM-PER-CentiM2"
"ug-n/g dry soil/hour",NA,1,"ug-npergramdrysoilperhour","ug-n-PER-GM-drysoil-HR"
"ue/m2/sec",NA,1,"uepermetersquaredpersecond","ue-PER-M2-SEC"
"ua7",NA,1,"ua7","ua7"
"ua6",NA,1,"ua6","ua6"
"ua5",NA,1,"ua5","ua5"
"ua4",NA,1,"ua4","ua4"
"u_ppm_na_sc",NA,1,"upartpermillionnasc","u-PPM-nasc"
"u_ppm_na_lc",NA,1,"upartpermillionnalc","u-PPM-nalc"
"u_ppm_ms_st",NA,1,"upartpermillionmsst","u-PPM-msst"
"u_ppm_dn",NA,1,"upartpermilliondn","u-PPM-dn"
"u-seimens",NA,1,"u-seimen","u-S"
"typically two branches per node",NA,1,"typicallytwobranchespernode","typicallytwobranches-PER-node"
"two digits for year, two digits for month, two digits for day of month (yymmdd).",NA,1,"twodigitsforyear,twodigitsformonth,twodigitsfordayofmonth(yymmdd).","twodigitsfor-YR-,twodigitsfor-MO-,twodigitsfor-DAY-of-MO"
"twichell",NA,1,"twichell","twichell"
"twa particle density (mg/m3)",NA,1,"twaparticledensity(mgperm3)","twaparticledensity"
"turkey antalya",NA,1,"turkeyantalya","turkeyantalya"
"turbulent kinetic energy",NA,1,"turbulentkineticenergy","turbulentkineticenergy"
"turbity measure",NA,1,"turbitymeasure","turbitymeasure"
"turbidity",NA,1,"turbidity","turbidity"
"tundrius",NA,1,"tundrius","tundrius"
"tundering",NA,1,"tundering","tundering"
"tully limestone",NA,1,"tullylimestone","tullylimes-TON_US-e"
"tule-01",NA,1,"tule-01","tule-01"
"tualatin river keepers",NA,1,"tualatinriverkeepers","tualatinriverkee-PER"
"tualatin hills park and rec district",NA,1,"tualatinhillsparkandrecdistrict","tualatinhillsparkandrecdistrict"
"tu",NA,1,"tu","tu"
"tt_kno3",NA,1,"ttkno3","ttkno3"
"tt",NA,1,"tt","tt"
"ts for rh",NA,1,"tsforrh","tsforrh"
"ts for kl",NA,1,"tsforkl","tsforkl"
"ts",NA,1,"ts","ts"
"TRUE",NA,1,"TRUE","TRUE"
"troy ounce per short ton",NA,1,"troyouncepershortton","troy-OZ-PER-short-TON_US"
"troy ounce / short ton",NA,1,"troyouncepershortton","troy-OZ-PER-short-TON_US"
"trlk-02",NA,1,"trlk-02","trlk-02"
"triopsidae",NA,1,"triopsidae","triopsidae"
"trigger-weight core",NA,1,"trigger-weightcore","trigger-weightcore"
"trichoptera",NA,1,"trichoptera","trichoptera"
"trench",NA,1,"trench","trench"
"treatment",NA,1,"treatment","treatment"
"trcy-03",NA,1,"trcy-03","trcy-03"
"trawlmks",NA,1,"trawlmks","trawlmks"
"trawlmarks",NA,1,"trawlmarks","trawlmarks"
"trawlmark",NA,1,"trawlmark","trawlmark"
"trawl marks",NA,1,"trawlmarks","trawlmarks"
"trauma",NA,1,"trauma","trauma"
"trap",NA,1,"trap","trap"
"transverse sand waves",NA,1,"transversesandwaves","transversesandwaves"
"transverse sand waves",NA,1,"transversesandwaves","transversesandwaves"
"tr-018",NA,1,"tr-018","tr-018"
"tr-009",NA,1,"tr-009","tr-009"
"tr",NA,1,"tr","tr"
"tr",NA,1,"tr","tr"
"total phosphorus, 00665",NA,1,"totalphosphorus,00665","totalphosphorus,00665"
"total participants in 2014",NA,1,"totalparticipantsin2014","totalparticipantsin2014"
"total nitrogen, 00600",NA,1,"totalnitrogen,00600","totalnitrogen,00600"
"total grams per day",NA,1,"totalgramperday","total-GM-PER-DAY"
