"unit","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"s.g.",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"s99",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sacr",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"san joaquin",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sand ridge or bedform",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sand waves",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sand waves and megaripples",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sandy",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sandy gravel",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"savs",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sb",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sc",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"scarp",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"scenario",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"scenario",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"seasonal wetland (not summer irrigated)",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"seasonal wetland (summer-irrigated)",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"second (24-hr clock, utc)",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"seep",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"seismic line identification",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"seismic shot",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sequential count",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"serial number",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sfbay",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"shelf valley",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"shell beds",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"shellgravelcobble",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"shg",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ship wreck",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"short ton (namely, 2000 pounds avoirdupois)",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"shrub",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"silt",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"silty sand",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"site names given in alphabetical order.",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sleeping bear dunes nl",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"slimy sculpin",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"smith-mcintyre w/camera",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"smith-mcintyre w/ocamera",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"smm",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"solid",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sort_rework",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sort_rework",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sorting",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sorting or reworking",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sparse",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sparse",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"spd",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"square kilometers",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"square meters",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"square miles",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"src",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ssw",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"st",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"st1",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"standard deviations",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"structure",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sub-surface mooring",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"submerged aquatics fresh",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"submersible arm grab",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"surf",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"survey h12296 in northern block island sound",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"survey h12299",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sutter",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"suva_254nm",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sva",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"svb",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"svc",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"svd",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"swab",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"sz",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"t-5",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"t-7",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"teflon shovel",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"text value",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"text values",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"the day on which video was taken",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"the hour in which video was taken",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"the minute in which video position was taken",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"the month in which video was taken",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"the second in which video position was taken",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"the wetlands conservancy",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tigard public works",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"time_1",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"time_2",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tm",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tn",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tob",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"total",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"transect identification number",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"transmitter number",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tripod",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"trowel",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tt_flux",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tt_hcl",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tt_hf",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tulare",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tusw",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"tx",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"u.s. fish and wildlife service",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ua1",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ua2",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ua3",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"umol fe",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"undetermined",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"uninfected",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"unknown",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"upper",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"usa",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"usda",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"usgs digital orthophoto",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ut beg",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"utc.",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"v",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"va",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"variable",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"variable. measurement (and standard deviation) units for reported concentrations or activities for the constituents are provided in table01_constituents.xlsx.",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"variable; see entry for record in accompanying field units",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"vath",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"very coarse pebbles",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"very high",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"very low",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"very near",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"very poor",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"vfef",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"vibra corer",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"vibracorer",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"volts 430",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"vt",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"washover",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"washover",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"watt hours/square meter/day",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"watts per square meter",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"watts per square metre",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wcsp",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wdx",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wdx_fuse",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"well pads",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wesa",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"west",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wet",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wet",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wet meadow shrub",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wetland forested",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wetland scrub shrub fresh",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"whitefish spp.",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"winter-flooded corn",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"winter-flooded rice",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wipt",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wisn",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wms",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ws",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wv",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"wy",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"y",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"year before present (yr bp)",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"year.month",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"years (yrs)",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ykd",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"yolo",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"yr bp",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"yrwa",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"ywar",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"z",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"zc",0,0,0,0,0,0,2,"DataOne",1,0,0,2
"zs",0,0,0,0,0,0,2,"DataOne",1,0,0,2
" micros.cm-2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"
                micromolepermetersquaredpersecond",1,1,1,0,0,0,0,"EDI",1,1,1,1
"
                micromolepersquaremeterpersecond",1,1,1,0,0,0,0,"EDI",1,1,1,1
"
                millimeterpercentimetersquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"
                millimeterpercentimetersquaredperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"# / m^2 litter area",1,1,1,0,0,0,0,"EDI",1,1,1,1
"# diet categories",1,1,1,0,0,0,0,"EDI",1,1,1,1
"# of categories",1,1,1,0,0,0,0,"EDI",1,1,1,1
"#ofbacteria/hour/individual",1,1,1,0,0,0,0,"EDI",1,1,1,1
"#ofblackspruceperhectare",1,1,1,0,0,0,0,"EDI",1,1,1,1
"#x108/liter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"% g water per g dry litter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"%/day",1,1,1,0,0,0,0,"EDI",1,1,1,1
"%/ha",1,1,1,0,0,0,0,"EDI",1,1,1,1
"%h:%m:%s",1,1,1,0,0,0,0,"EDI",1,1,1,1
"%volumetricmoisturecontent",1,1,1,0,0,0,0,"EDI",1,1,1,1
"[ft_us]",1,1,1,0,0,0,0,"EDI",1,1,1,1
"µg cm-2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"µg p/l",1,1,1,0,0,0,0,"EDI",1,1,1,1
"µm^3/m^2 litter ",1,1,1,0,0,0,0,"EDI",1,1,1,1
"absoptionpermolepercentimeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"abundance",1,1,1,0,0,0,0,"EDI",1,1,1,1
"acrefoot",1,1,1,0,0,0,0,"EDI",1,1,1,1
"adjusted day of year",1,1,1,0,0,0,0,"EDI",1,1,1,1
"animal-days",1,1,1,0,0,0,0,"EDI",1,1,1,1
"animal units",1,1,1,0,0,0,0,"EDI",1,1,1,1
"animalunitmonthperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"area",1,1,1,0,0,0,0,"EDI",1,1,1,1
"average euclidean distance of each plot to the group (treatment or control) centriod in pcoa space",1,1,1,0,0,0,0,"EDI",1,1,1,1
"averagedcounts",1,1,1,0,0,0,0,"EDI",1,1,1,1
"ba/ha",1,1,1,0,0,0,0,"EDI",1,1,1,1
"becquerel",1,1,1,0,0,0,0,"EDI",1,1,1,1
"block",1,1,1,0,0,0,0,"EDI",1,1,1,1
"bushelperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"catchpertrawl",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cells / natural unit",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cells per ml",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cellspermililiter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cellspermillimetersquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cellsperml",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cellspersquaremillimeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"celsiuspermeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"celsiusperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cenimeterpermetersquaredperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centiliterperliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterdepth",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterperfiveminute",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterpergram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterperhourperpascal",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterpermilligram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterpersquarecentimeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeters per hour",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterscubed",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimetersperhour",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimeterspersquaremeterperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimoleh+perkilogram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimoles of charge per dry soil weight",1,1,1,0,0,0,0,"EDI",1,1,1,1
"centimolesofchargeperkilogram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cm amsl navd 88",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cm^2/g",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cm2 / g",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cm2/4m2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"coordinate",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cordperacre",1,1,1,0,0,0,0,"EDI",1,1,1,1
"count (unitless)",1,1,1,0,0,0,0,"EDI",1,1,1,1
"count of specimens",1,1,1,0,0,0,0,"EDI",1,1,1,1
"count per m2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"countper100squaremeters",1,1,1,0,0,0,0,"EDI",1,1,1,1
"countperquartermetersquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cu m/hour",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cubic meters per cubic meter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cubic micrometers per milliliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cubicm*10^6",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cubicmeterpersecond",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cubicmeters",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cubicmetersperhectare",1,1,1,0,0,0,0,"EDI",1,1,1,1
"cubicmicronpermilliliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dalton",1,1,1,0,0,0,0,"EDI",1,1,1,1
"date code",1,1,1,0,0,0,0,"EDI",1,1,1,1
"date expressed as a decimal",1,1,1,0,0,0,0,"EDI",1,1,1,1
"day of year",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dayof month",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dayofmonth",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dayofweek",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dayofyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dd-mm-yyyy",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dd-mm-yyyy",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dd-mmm-yyyy",1,1,1,0,0,0,0,"EDI",1,1,1,1
"decayperminuteperliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"decimal years",1,1,1,0,0,0,0,"EDI",1,1,1,1
"decimals",1,1,1,0,0,0,0,"EDI",1,1,1,1
"decimaltime",1,1,1,0,0,0,0,"EDI",1,1,1,1
"degreecelsiuspermeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"degreecweeks",1,1,1,0,0,0,0,"EDI",1,1,1,1
"degreefahrenheit",1,1,1,0,0,0,0,"EDI",1,1,1,1
"degrees celsius * 10",1,1,1,0,0,0,0,"EDI",1,1,1,1
"degreesfahrenheit",1,1,1,0,0,0,0,"EDI",1,1,1,1
"deployment year",1,1,1,0,0,0,0,"EDI",1,1,1,1
"deviation from the standard vienna peedee belemnite",1,1,1,0,0,0,0,"EDI",1,1,1,1
"difference in evenness between control plots",1,1,1,0,0,0,0,"EDI",1,1,1,1
"difference in evenness between plots",1,1,1,0,0,0,0,"EDI",1,1,1,1
"difference in probability",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dimensionsless",1,1,1,0,0,0,0,"EDI",1,1,1,1
"dollars",1,1,1,0,0,0,0,"EDI",1,1,1,1
"drygpermsquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"equivalentperliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"equivalentsperliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"euclidean distance bewteen centroids in pcoa space",1,1,1,0,0,0,0,"EDI",1,1,1,1
"experimental id",1,1,1,0,0,0,0,"EDI",1,1,1,1
"fishperschool",1,1,1,0,0,0,0,"EDI",1,1,1,1
"footcubedperacre",1,1,1,0,0,0,0,"EDI",1,1,1,1
"footpersecond",1,1,1,0,0,0,0,"EDI",1,1,1,1
"footsquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"formazin turbidity unit",1,1,1,0,0,0,0,"EDI",1,1,1,1
"fruitsperindividualperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"frustules",1,1,1,0,0,0,0,"EDI",1,1,1,1
"g / cm^3",1,1,1,0,0,0,0,"EDI",1,1,1,1
"g m^-2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"g water / cm^2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"g wosc / square m",1,1,1,0,0,0,0,"EDI",1,1,1,1
"g/0.09m2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gallonperhour",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gallonperweek",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gco2-c/m^2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gn/m2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gnm-2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gp/m2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gpercubedcm",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gpi/m2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gram-carbon per square meter per day",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gram leaf per gram sample",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gram of carbon per kilogram of soil",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gram of nitrogen per kilogram of soil",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramcarbonperkilogramdrysoil",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramdryplantbiomassperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramper1750centimeterqubed",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grampercentimeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grampercubicmeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grampergram *100",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grampermetercubedperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grampermeterpersecond",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grampermetersquare",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grampersquaremeterperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"grams/square foot",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramscellulosepergramlitter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramsdrymasspersquaremeterper15cmdepthinterval",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramsdrymasspersquaremeterperyearper15cmdepthinterval",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramsligninpergramscelluloseandlignin",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramsligninpergramslitter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramspercentimeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramspercentimetercubed",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramspercentimetersquaredperhour",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramspercubicmeter(g/m3)",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramspercubicmeterperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramsperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramsperhectareperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramspermonth",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramspersquaredmeterpercentimeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramspersquaremeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"gramssquaremeterperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"hms.s",1,1,1,0,0,0,0,"EDI",1,1,1,1
"individuals/km2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"individualspercubicmeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"individualspermilliliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"individualspersquaremeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"jackson turbidity unit",1,1,1,0,0,0,0,"EDI",1,1,1,1
"joule/gram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"jouleperkelvinperkilogram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"joulepermetersquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"joulepermole",1,1,1,0,0,0,0,"EDI",1,1,1,1
"joulepersquarecentimetre[j/cm²]",1,1,1,0,0,0,0,"EDI",1,1,1,1
"joulespermetersquare",1,1,1,0,0,0,0,"EDI",1,1,1,1
"joulespersquarecentimeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"killogramperhectare",1,1,1,0,0,0,0,"EDI",1,1,1,1
"killogramperhectareperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilogram per unit effort",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilogramperkilogram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilogrampermetersquaredperyear",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilogramspercubicmeters",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilogramsperhectare",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilogramsperliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilojoulepersquaremeterperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilometerperhour",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilometerperkilometersquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilometersperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilowattpersquaremeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"kilowattspersquaremeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"l/s",1,1,1,0,0,0,0,"EDI",1,1,1,1
"langleys",1,1,1,0,0,0,0,"EDI",1,1,1,1
"large fish/metercubed/30 minute",1,1,1,0,0,0,0,"EDI",1,1,1,1
"literperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"literpermeterpermilligram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"literpermetersquaredperday",1,1,1,0,0,0,0,"EDI",1,1,1,1
"litersperhour",1,1,1,0,0,0,0,"EDI",1,1,1,1
"literspermilligram-carbonpermeter.",1,1,1,0,0,0,0,"EDI",1,1,1,1
"literspermilligrams",1,1,1,0,0,0,0,"EDI",1,1,1,1
"log response ratio as a magnitude with sign added (for ease of interpretation)",1,1,1,0,0,0,0,"EDI",1,1,1,1
"log10cellspermililiter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"log10cellspermilliliter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"log10relativefluorescenceunits",1,1,1,0,0,0,0,"EDI",1,1,1,1
"longitude",1,1,1,0,0,0,0,"EDI",1,1,1,1
"lumenspersquarefoot",1,1,1,0,0,0,0,"EDI",1,1,1,1
"luminositypersquarefoot",1,1,1,0,0,0,0,"EDI",1,1,1,1
"luminpermetersquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"m/d/yyyy",1,1,1,0,0,0,0,"EDI",1,1,1,1
"m^2/ha",1,1,1,0,0,0,0,"EDI",1,1,1,1
"m2pergram",1,1,1,0,0,0,0,"EDI",1,1,1,1
"m3/ha",1,1,1,0,0,0,0,"EDI",1,1,1,1
"m6/hr2",1,1,1,0,0,0,0,"EDI",1,1,1,1
"megagramperhectare",1,1,1,0,0,0,0,"EDI",1,1,1,1
"megajoule per cm2 per year",1,1,1,0,0,0,0,"EDI",1,1,1,1
"megajoulepersquaremeter",1,1,1,0,0,0,0,"EDI",1,1,1,1
"megajoulespermetersquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
"megaliterperkilometersquared",1,1,1,0,0,0,0,"EDI",1,1,1,1
